ionum,name,long,y0,y1,sdate,deaddate,dead,integrated,replaced
2720,IES,International Exchange Service,1886,1939,1886,1939.0,1,0,0
2730,IEXB,International Exhibitions Bureau,1928,2014,1928,,0,0,0
2740,IFCA,International Finance Commission at Athens,1898,1914,1898,1914.0,1,0,0
2750,IFC,International Finance Corporation (IFC),1956,2014,1956,,0,0,0
2760,IFAD,International Fund for Agricultural Development (IFAD),1974,2014,1974,,0,0,0
2770,AralSea,International Fund for Saving the Aral Sea (IFAS),1997,2014,1997,,0,0,0
2780,IHO,International Hydrographic Bureau/International Hydrographic Organization,1920,2014,1919,,0,0,0
2790,UNIDROIT,International Institute for the Unification of Private Law/UNIDROIT,1940,2014,1940,,0,0,0
2795,IIWEE,International Institute for Water and Environment Engineering (2IE),2004,2014,2004,,0,0,0
2800,IIA,International Institute of Agriculture,1905,1945,1905,1945.0,1,0,1
2805,IICom,International Institute of Commerce,1919,1943,1919,1943.0,1,0,0
2810,IIF,International Institute of Refrigeration/International Cold Institute,1920,2014,1920,,0,0,0
2820,IJO,International Jute Organization (IJO),1984,2001,1984,2001.0,1,0,0
2830,ILO,International Labour Organization,1919,2014,1919,,0,0,0
2840,ILZSG,International Lead and Zinc Study Group,1977,2014,1977,,0,0,0
2850,IMBSlav,International Maritime Bureau Against the Slave Trade,1890,1909,1890,1909.0,1,0,0
2860,IMO,International Maritime Organization (IMO)/Provisional Maritime Consultative Comm,1948,2014,1948,,0,0,0
2870,IMSO,International Mobile Satellite Organization (IMSO),1979,2014,1979,,0,0,0
2880,IMF,International Monetary Fund,1945,2014,1945,,0,0,0
2890,IMC,International Moselle Company,1956,1987,1956,1987.0,1,0,0
2900,INRO,International Natural Rubber Organization (INRO),1980,1999,1980,1999.0,1,0,0
2910,INSG,International Nickel Study Group (INSG),1990,2014,1990,,0,0,0
2920,INPFC,International North Pacific Fisheries Commission,1952,1992,1952,1992.0,1,0,1
2930,IOEz,International Office of Epizootics/World Organization for Animal Health (OIE),1924,2014,1924,,0,0,0
2940,IOPH,International Office of Public Hygiene,1907,1946,1907,1946.0,1,0,0
2950,IOPCF,International Oil Pollution Compensation Funds 1971 and 1992 (IOPC,1975,2014,1975,,0,0,0
2960,IOOC,International Olive Oil Council,1959,2014,1959,,0,0,0
2970,IOLM,International Organization for Legal Metrology,1955,2014,1955,,0,0,0
2972,IPI,International Patent Institute,1947,1977,1947,1977.0,1,1,0
2980,IPedI,Int'l Pedological Instit,1908,1941,1908,1941.0,1,1,0
2990,IPentC,International Penitentiary Commission,1875,1951,1875,1951.0,1,0,0
3000,IPC,International Pepper Community (IPC),1971,2014,1971,,0,0,0
3010,IPhyL,International Physiological Laboratories on Monte-Rosa,1907,1929,1907,1929.0,1,0,0
3030,IPrizeC,International Prize Court,1907,1914,1907,1914.0,1,0,0
3040,IRLCS,International Red Locust Control Service,1949,1970,1949,1970.0,1,0,1
3050,IRO,International Refugee Organization,1946,1952,1946,1952.0,1,0,0
3060,RIOPPAH,International Regional Organization against Plant and Animal Diseases/Internatio,1953,2014,1953,,0,0,0
3070,IRU,International Relief Union,1927,1967,1927,1968.0,0,0,0
3075,IRENA,International Renewable Energy AgencyÊ,2009,2014,2009,,0,0,0
3090,IRSG,International Rubber Study Group,1944,2014,1944,,0,0,0
3095,ISRBC,International Sava River Basin Commission (ISRBC),2002,2014,2002,,0,0,0
3100,ISA,International Seabed Authority (ISBA),1994,2014,1994,,0,0,0
3110,ISUPT,International Secretariat for the Unification of Pharmacological Terms,1902,1914,1902,1914.0,1,0,0
3130,ISuC,International Sugar Council,1937,1967,1937,1967.0,1,0,0
3140,ITPA,International Tea Promotion Association (ITPA),1977,1984,1977,1984.0,1,0,0
3150,ITCLE,International Technical Committee of Legal Experts on Air Questions,1926,1941,1926,1941.0,1,0,0
3160,ITU,International Telecommunication Union,1865,2014,1865,,0,0,0
3170,INTELSAT,International Telecommunications Satellite Organization (INTELSAT),1964,2001,1964,2001.0,1,0,0
3175,ITCC,International Telegraph Consultative Committee,1925,1956,1925,1956.0,1,0,0
3177,IIFEO,International Thermonuclear Experimental Reactor International Fusion Energy Organization,2006,2014,2006,,0,0,0
3180,ITC,International Tin Council,1956,1985,1956,1990.0,0,0,0
3185,ITRO,"International Tripartite Rubber Organization, Thailand (ITRO)",2001,2005,2001,2005.0,1,0,0
3190,ITTO,International Tropical Timber Organization (ITTO),1987,2014,1987,,0,0,0
3200,IUPIP,International Union for the Protection of Industrial Property,1883,2014,1883,,0,0,0
3210,IUPLAW,International Union for the Protection of Literary and Artistic Works (Berne Uni,1886,2014,1886,,0,0,0
3220,IUPCT,Intl Union for the Publication of Customs Tariffs/Intl Customs Tariffs Bureau (BITD),1890,2014,1890,,0,0,0
3230,IUPR,International Union of Pruth (River),1878,1914,1878,1914.0,1,0,0
3240,IVWO,International Wine Office,1924,2003,1924,2003.0,1,0,1
3245,OIV,International Organization of Vine and Wine,2004,2014,2004,,0,0,0
3250,IWhale,International Whaling Commission,1946,2014,1946,,0,0,0
3260,IGC,International Wheat Advisory Committee (IW Council)/Int'l Grains Council,1949,2014,1949,,0,0,0
3270,IWSG,International Wool Study Group,1947,1992,1947,1992.0,1,0,0
3280,Iocean,Interoceanmetal,1987,2014,1987,,0,0,0
3290,ISB,Inter-State Bank,1993,2014,1993,,0,0,0
3300,IOATHRE,Inter-State Organization for Advanced Technicians of Hydraulics and,1972,2004,1972,2004.0,1,0,0
3310,ISHREST,Inter-State School of Hydraulic and Rural Engineering for Senior,1972,1996,1972,1996.0,1,0,0
3320,ISDB,Islamic Development Bank (IsDB),1974,2014,1974,,0,0,0
3330,Turksoy,Joint Administration of the Turkic Culture and Arts (TURKSOY),1993,2014,1993,,0,0,0
3340,JALAAO,Joint Anti-Locust and Anti-Aviarian Organization,1965,2001,1965,2001.0,1,0,0
3350,JINR,Joint Institute for Nuclear Research,1956,2014,1956,,0,0,0
3360,JNOLCRH,Joint Nordic Organization for Lappish Culture and Reindeer Husbandry,1965,2000,1965,2000.0,1,0,0
3370,LACP,Latin American Center for Physics,1962,2014,1962,,0,0,0
3380,LACAC,Latin American Civil Aviation Commission (LACAC),1973,2014,1973,,0,0,0
3390,SELA,Latin American Economic System/SELA,1975,2014,1975,,0,0,0
3400,LAIEC,Latin American Educational Film Institute/Latin American Institute of Educational Communication,1978,2014,1978,,0,0,0
3410,LAEO,Latin American Energy Organization,1973,2014,1973,,0,0,0
3420,LAFDO,Latin American Fisheries Development Organization,1982,2014,1982,,0,0,0
3428,LAFTA,Latin American Free Trade Association,1961,1980,1961,1980.0,1,0,1
3430,LAIA,Latin American Integration Association (LAIA),1980,2014,1980,,0,0,0
3440,LATIN,Latin Union,1983,2014,1983,,0,0,0
3450,LOAS,League of Arab States,1945,2014,1945,,0,0,0
3460,LoN,League of Nations,1919,1945,1919,1945.0,1,0,1
3470,LGIDA,Liptako-Gourma Integrated Development Authority (LGA),1970,2005,1970,2005.0,1,0,0
3480,MRU,Mano River Union (MRU),1980,2014,1980,,0,0,0
3485,MAOCN,Maritime Analysis and Operations Centre - Narcotics,2008,2014,2008,,0,0,0
3490,MWN,Mediterranean Water Network (MWN),1993,2001,1993,2001.0,1,0,0
3505,MARRI,"Migration, Asylum, Refugees Regional Initiative (MARRI)",2003,2014,2003,,0,0,0
3510,MCWCASM,Ministerial Conference of West and Central African States on Maritime,1975,2014,1975,,0,0,0
3520,MCPTTC,"Multi-Country Posts and Telecommunications Training Centre, Blantyre/not indep u",1984,2002,1984,2002.0,1,0,0
3530,Montreal,Multilateral Fund for the Implementation of the Montreal Protocol,1990,2014,1990,,0,0,0
3540,MIGA,Multilateral Investment Guarantee Agency (MIGA),1988,2014,1988,,0,0,0
3550,MFO,Multinational Force and Observers (MFO),1981,2014,1981,,0,0,0
3560,NACAP,Network of Aquaculture Centres in Asia-Pacific (NACA),1990,2014,1990,,0,0,0
3570,NRC,Niger River Commission/Niger Basin Authority,1964,2014,1964,,0,0,0
3580,NAM,Non-Aligned Movement (NAM),1961,2014,1961,,0,0,0
3585,NVC,Nordic Centre for Welfare and Social Issues (Nordens Vlfrdscenter ),2009,2014,2009,,0,0,0
3590,NordC,Nordic Council,1952,2014,1952,,0,0,0
3600,NCRR,Nordic Council for Reindeer Research,1980,1992,1980,1992.0,1,1,0
3610,NCTR,Nordic Council for Tax Research,1973,2014,1973,,0,0,0
3620,NCM,Nordic Council of Ministers,1971,2014,1971,,0,0,0
3630,NDF,Nordic Development Fund (NDF),1989,2014,1989,,0,0,0
3640,NERC,Nordic Economic Research Council,1979,1996,1979,1996.0,1,0,0
3650,NIB,Nordic Investment Bank,1976,2014,1976,,0,0,0
3655,NPI,Nordic Patent Institute,2008,2014,2008,,0,0,0
3660,NTSC,Nordic Telecommunications Satellite Council (NTSR),1965,1986,1965,1986.0,1,0,0
3665,NWHF,Nordic World Heritage Foundation (NWHF),2002,2014,2002,,0,0,0
3670,NAFTA,North American Free Trade Agreement (NAFTA),1993,2014,1993,,0,0,0
3680,NAPPO,North American Plant Protection Organization (NAPPO),1976,2014,1976,,0,0,0
3690,NASCO,North Atlantic Salmon Conservation Organization (NASCO),1983,2014,1983,,0,0,0
3700,NATO,North Atlantic Treaty Organization (NATO),1949,2014,1949,,0,0,0
3705,NPAFC,North Pacific Anadromous Fish Commission,1993,2014,1993,,0,0,0
3710,NPFSC,North Pacific Fur Seal Commission,1958,1988,1958,1988.0,1,0,0
3720,PICES,North Pacific Marine Science Organization (PICES),1992,2014,1992,,0,0,0
3730,NEAFC,Northeast Atlantic Fisheries Commission (NEAFC),1998,2014,1998,,0,0,0
3740,AFRISTAT,Observatoire conomique et statistique d'Afrique subsaharienne,1993,2014,1993,,0,0,0
3750,OECD,Organization for Economic Cooperation and Development (OECD),1961,2014,1961,,0,0,0
3760,OAU,Organization for African Unity,1963,2002,1963,2002.0,1,0,1
3761,AU,African Union (AU),2002,2014,2002,,0,0,0
3762,OEEC,Organization for European Economic Cooperation (Organization for Economic Cooper,1948,1961,1948,1961.0,1,0,0
3770,OSCE,Organization for Security and Cooperation in Europe (OSCE),1973,2014,1973,,0,0,0
3780,OCR,Organization for the Collaboration of Railways/WP states/ Organization of Railwa,1956,2014,1956,,0,0,0
3790,OMDKR,Organization for the Management and Development of the Kagera River,1977,2000,1977,2000.0,1,0,0
3800,OAPEC,Organization of Arab Petroleum Exporting Countries (OAPEC),1968,2014,1968,,0,0,0
3810,BSEC,Organization of Black Sea Economic Cooperation (BSEC),1992,2014,1992,,0,0,0
3812,OCAS,Organization of Central American States,1951,1991,1951,1991.0,1,0,1
3820,OCCEDCA,Organization of Coordination for the Control of Endemic Diseases in Central Afri,1963,2014,1963,,0,0,0
3830,OECS,Organization of Eastern Caribbean States (OECS),1981,2014,1981,,0,0,0
3840,OPEC,Organization of Petroleum Exporting Countries (OPEC),1960,2014,1960,,0,0,0
3850,OIC,Organization of the Islamic Conference (OIC),1969,2014,1969,,0,0,0
3855,OSLO,Oslo Commission,1972,1998,1972,1998.0,1,0,1
3860,OSPAR,OSPAR Commission,1998,2014,1998,,0,0,0
3870,PCB,Pacific Cable Board,1920,1928,1920,1928.0,1,0,0
3875,PAP,Pan-African Parliament,2002,2014,2002,,0,0,0
3880,PAIGH,Pan American Institute of Geography and History,1928,2014,1928,,0,0,0
3890,PAHO,Pan American Sanitary Bureau (PASOrganization/PAHealthOrganization),1902,2014,1902,,0,0,0
3900,OAS,Pan American Union (OAS),1890,2014,1890,,0,0,0
3905,PAPU,Pan African Postal Union,1980,2014,1980,,0,0,0
3910,PC,Paris Commission (PARCOM),1977,1998,1977,1998.0,1,0,1
3920,PIPD,Partners in Population and Development - A South-South Initiative,1994,2014,1994,,0,0,0
3925,PAHC,Permanent Association of Pan American Highway Congresses,1939,1952,1939,1952.0,1,0,0
3930,PCSP,Permanent Commission for the Conservation of the Maritime Resources of the South,1952,2014,1952,,0,0,0
3940,PCA,Permanent Court of Arbitration,1899,2014,1899,,0,0,0
3950,PIARC,Permanent International Association of Road Congresses/ World Road Association,1908,2014,1908,,0,0,0
3960,PIBAC,Permanent International Bureau of the Analytical Chemistry of Human and Animal F,1923,1934,1923,1934.0,1,0,1
3965,PICS,Permanent International Commission of Studies on Sanitary Equipment,1925,1938,1925,1938.0,1,0,0
3970,CILSS,Permanent Interstate Committee for Drought Control in the Sahel,1973,2014,1973,,0,0,0
3980,PSNARCO,Permanent Secretariat of the South American Agreement on Narcotic Drugs and Psyc,1979,1998,1979,1998.0,1,0,0
4000,PED,Ple europen de dveloppement (PED),1985,2014,1985,,0,0,0
4010,PMAESA,Port Management Association of Eastern and Southern Africa (PMAESA),1973,2014,1973,,0,0,0
4020,PUASP,"Postal Union of the Americas and Spain/Postal Union of the Americas, Spain, and",1911,2014,1911,,0,0,0
4030,PTASEA,Preferential Trade Agreement for Southern & Eastern Africa,1981,1994,1981,1994.0,1,0,1
4040,RadioU,Radiotelegraph Union,1906,1926,1906,1926.0,1,0,0
4050,RASCOM,Regional African Satellite Communications Organization (RASCOM),1992,2014,1992,,0,0,0
4055,RECSA,Regional Centre on Small Arms and Light Weapons (RECSA),2004,2014,2004,,0,0,0
4060,RCFC,Regional Commonwealth in the Field of Communications (RCC),1991,2014,1991,,0,0,0
4070,ARCAL,Regional Cooperation Agreement for the Promotion of Nuclear Science,1985,2014,1985,,0,0,0
4075,RCC,Regional Cooperation Council,2008,2014,2008,,0,0,0
4080,RCAELA,Regional Council for Adult Education and Literacy in Africa,1974,2004,1974,2004.0,1,0,0
4085,RepCom,Reparation Commission,1919,1933,1919,1933.0,1,0,0
4090,RIMMO,Rserve internationale maritime en mditerrane occidentale (RIMMO),1992,2014,1992,,0,0,0
4100,RIOgroup,Rio Group,1986,2014,1986,,0,0,0
4110,SCAf,Scientific Council for Africa South of the Sahara,1950,1965,1950,1965.0,1,0,0
4115,SCO,Shanghai Cooperation Organisation/Shanghai Pact/Shanghai Five,1996,2014,1996,,0,0,0
4120,EAC,East African Community,1996,2014,1996,,0,0,0
4130,SRDO,Senegal River Development Organization,1972,2014,1972,,0,0,0
4140,SAMI,Societe arabe des mines de l'Inchiri (SAMIN),1980,2000,1980,2000.0,1,0,0
4150,SWAPU,South and West Asia Postal Union (SWAPU),1987,2006,1987,2006.0,1,0,0
4160,SACEP,South Asia Cooperative Environment Programme (SACEP),1983,2014,1983,,0,0,0
4170,SAARC,South Asian Association for Regional Cooperation (SAARC),1985,2014,1985,,0,0,0
4180,SITTDEC,"South Investment, Trade and Technological Data Exchange Centre",1990,2014,1990,,0,0,0
4190,SPC,South Pacific Commission/Secretariat of the Pacific Commission (SPC),1947,2014,1947,,0,0,0
4200,PIF,South Pacific Forum (SPF),1971,2014,1971,,0,0,0
4210,SEATO,Southeast Asia Treaty Organization (SEATO),1954,1977,1954,1977.0,1,0,0
4220,SEAMEO,Southeast Asian Ministers of Education Organization (SEAMEO),1965,2014,1965,,0,0,0
4230,SARTC,Southern Africa Regional Tourism Council (SARTOC),1973,1996,1973,1996.0,1,0,1
4240,SACU,Southern African Customs Union (SACU),1969,2014,1969,,0,0,0
4250,SADC,Southern African Development Community (SADC),1992,2014,1992,,0,0,0
4251,SADCC,Southern African Development Coordination Conference (SADCC),1980,1992,1980,1992.0,1,0,1
4260,Mercosur,Southern Common Market/MERCOSUR,1991,2014,1991,,0,0,0
4265,SWPD,South-West Pacific Dialogue (SWPD),2002,2014,2002,,0,0,0
4270,SAAFA,Special Arab Aid Fund for Africa (SAAFA),1974,1977,1974,1977.0,1,1,0
4280,SCA,Suez Canal Administration,1888,1914,1888,1914.0,1,0,0
4290,SugU,Sugar Union,1902,1913,1902,1913.0,1,0,0
4300,SCH,Superior Council of Health,1838,1914,1838,1914.0,1,0,0
4320,TCRMG,Tripartite Commission for the Restitution of Monetary Gold,1946,1998,1946,1998.0,1,0,0
4340,UEMOA,Union conomique et mon taire Ouest africaine (UEMOA),1994,2014,1994,,0,0,0
4350,UIUCV,Union for the International Use of Carriages and Vans,1923,1979,1923,1979.0,1,0,0
4360,IUPNVP,Union for the Protection of New Varieties of Plants/International Union of the P,1961,2014,1961,,0,0,0
4365,UMAC,Union montaire de l'Afrique centrale (UMAC),1972,1994,1972,1994.0,1,0,1
4370,UBEC,Union of Banana Exporting Countries,1974,1996,1974,1996.0,1,0,0
4375,UM,Union of the Mediterranian,2008,2014,2008,,0,0,0
4380,UASC,United Arab Shipping Company (UASC),1976,2014,1976,,0,0,0
4390,UKDWD,United Kingdom--Dominion Wool Disposals,1945,1953,1945,1953.0,1,0,0
4400,UN,United Nations,1945,2014,1945,,0,0,0
4410,UNESCO,"United Nations Educational, Scientific, and Cultural Organization (UNESCO)",1945,2014,1945,,0,0,0
4420,UNIDO,United Nations Industrial Development Organization (UNIDO),1966,2014,1966,,0,0,0
4430,UPU,Universal Postal Union,1874,2014,1874,,0,0,0
4440,USP,University of the South Pacific (USP),1967,2014,1967,,0,0,0
4450,VASAB,Vision and Strategies around the Baltic Sea 2010 (VASAB 2010),1992,2014,1992,,0,0,0
4460,WPact,Warsaw Treaty Organization,1955,1991,1955,1991.0,1,0,0
4470,Wassen,Wassenaar Arrangement on Export Controls for Conventional Arms and,1996,2014,1996,,0,0,0
4480,AfricaRice,West Africa Rice Development Association (WARDA)/Africa Rice Center,1970,2014,1970,,0,0,0
4485,CEAO,West African Economic Community (CEAO),1960,1994,1960,1994.0,1,0,1
4490,WAEC,West African Examinations Council,1960,2014,1960,,0,0,0
4500,WAHC,West African Health Community (WAHC),1972,1987,1972,1987.0,1,1,0
4501,WAHO,West African Health Organization,1988,2014,1988,,0,0,0
4503,UMOA,West African Monetary Union/UMOA,1962,1994,1962,1994.0,1,1,0
4510,WEU,Western European Union (WEU),1955,2011,1955,2011.0,1,0,0
4520,WNF,West-Nordic Foundation,1987,2014,1987,,0,0,0
4530,WMO,World Meteorological Organization,1948,2014,1948,,0,0,0
4540,WCDC,Working Community of the Danube Countries,1990,2014,1990,,0,0,0
4550,WHO,World Health Organization,1946,2014,1946,,0,0,0
4560,WIPO,World Intellectual Property Organization (WIPO),1970,2014,1970,,0,0,0
4570,WTOURO,World Tourism Organization (WTO),1975,2014,1975,,0,0,0
4580,WTO,World Trade Organization (WTO),1995,2014,1995,,0,0,0
